h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,8,"[5, 219, 1]",1314,495,495,True,False
2,8,"[5, 136, 1]",816,495,495,True,False
2,8,"[5, 120, 1]",720,495,495,True,False
2,8,"[5, 84, 1]",504,420,495,False,False
2,8,"[5, 112, 1]",672,495,495,True,False
2,8,"[5, 105, 1]",630,495,495,True,False
2,8,"[5, 94, 1]",564,470,495,False,False
2,8,"[5, 103, 1]",618,495,495,True,False
2,8,"[5, 100, 1]",600,495,495,True,False
2,8,"[5, 99, 1]",594,495,495,True,True
2,8,"[5, 96, 1]",576,480,495,False,False
2,8,"[5, 97, 1]",582,485,495,False,False
2,8,"[5, 98, 1]",588,490,495,False,False
