h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,is_unimodal,expected_dimension,defect
2,16,"[2, 12, 2]",48,34,34,True,True,True,34,0
2,16,"[2, 13, 2]",52,34,34,True,False,True,34,0
2,16,"[2, 9, 2]",36,27,34,False,False,True,27,0
2,16,"[2, 11, 2]",44,33,34,False,False,True,33,0
3,16,"[2, 80, 17, 2]",1554,306,514,False,False,True,514,208
3,16,"[2, 113, 16, 2]",2066,288,514,False,False,True,514,226
3,16,"[2, 250, 15, 2]",4280,270,514,False,False,True,514,244
3,16,"[2, 199, 17, 2]",3815,306,514,False,False,True,514,208
3,16,"[2, 250, 16, 2]",4532,288,514,False,False,True,514,226
3,16,"[2, 255, 4, 2]",1538,72,514,False,False,True,514,442
3,16,"[2, 256, 6, 2]",2060,108,514,False,False,True,514,406
3,16,"[2, 226, 17, 2]",4328,306,514,False,False,True,514,208
3,16,"[2, 245, 17, 2]",4689,306,514,False,False,True,514,208
3,16,"[2, 257, 2, 2]",1032,36,514,False,False,True,514,478
3,16,"[2, 255, 17, 2]",4879,306,514,False,False,True,514,208
3,16,"[2, 257, 7, 2]",2327,126,514,False,False,True,514,388
3,16,"[2, 257, 16, 2]",4658,288,514,False,False,True,514,226
3,16,"[2, 256, 17, 2]",4898,306,514,False,False,True,514,208
3,16,"[2, 257, 17, 2]",4917,306,514,False,False,True,514,208
